index,stroke_id,motion_type,pen_state,x_mm,y_mm,z_mm,rx_deg,ry_deg,rz_deg,velocity_mm_s,acceleration_mm_s2,blend_radius_mm
0,1,APPROACH,PEN_UP,-44.122,442.641,371.442,-179.07,-0.108,-109.105,18.0,0.0,0.0
1,1,LIFT,PEN_TRANSITION,-44.122,442.641,291.178,-179.07,-0.108,-109.105,18.0,0.0,0.0
2,1,DRAW,PEN_DOWN,-44.122,442.641,291.178,-179.07,-0.108,-109.105,12.0,0.0,2.0
3,1,DRAW,PEN_DOWN,-44.435,443.518,290.814,-179.07,-0.108,-109.105,12.0,0.0,2.0
4,1,DRAW,PEN_DOWN,-44.748,444.395,290.45,-179.07,-0.108,-109.105,12.0,0.0,2.0
5,1,DRAW,PEN_DOWN,-45.061,445.272,290.086,-179.07,-0.108,-109.105,12.0,0.0,2.0
6,1,DRAW,PEN_DOWN,-45.374,446.149,289.721,-179.07,-0.108,-109.105,12.0,0.0,2.0
7,1,DRAW,PEN_DOWN,-45.688,447.026,289.357,-179.07,-0.108,-109.105,12.0,0.0,2.0
8,1,DRAW,PEN_DOWN,-45.812,447.374,289.212,-179.07,-0.108,-109.105,12.0,0.0,0.0
9,1,LIFT,PEN_TRANSITION,-45.812,447.374,371.442,-179.07,-0.108,-109.105,18.0,0.0,0.0
10,2,APPROACH,PEN_UP,-38.201,442.977,371.442,-179.07,-0.108,-109.105,18.0,0.0,0.0
11,2,LIFT,PEN_TRANSITION,-38.201,442.977,291.263,-179.07,-0.108,-109.105,18.0,0.0,0.0
12,2,DRAW,PEN_DOWN,-38.201,442.977,291.263,-179.07,-0.108,-109.105,12.0,0.0,2.0
13,2,DRAW,PEN_DOWN,-37.265,443.244,291.033,-179.07,-0.108,-109.105,12.0,0.0,2.0
14,2,DRAW,PEN_DOWN,-36.329,443.511,290.803,-179.07,-0.108,-109.105,12.0,0.0,2.0
15,2,DRAW,PEN_DOWN,-35.444,443.869,290.511,-179.07,-0.108,-109.105,12.0,0.0,2.0
16,2,DRAW,PEN_DOWN,-34.566,444.242,290.21,-179.07,-0.108,-109.105,12.0,0.0,2.0
17,2,DRAW,PEN_DOWN,-34.049,444.462,290.033,-179.07,-0.108,-109.105,12.0,0.0,0.0
18,2,LIFT,PEN_TRANSITION,-34.049,444.462,371.442,-179.07,-0.108,-109.105,18.0,0.0,0.0
19,3,APPROACH,PEN_UP,-29.696,442.974,371.442,-179.07,-0.108,-109.105,18.0,0.0,0.0
20,3,LIFT,PEN_TRANSITION,-29.696,442.974,291.276,-179.07,-0.108,-109.105,18.0,0.0,0.0
21,3,DRAW,PEN_DOWN,-29.696,442.974,291.276,-179.07,-0.108,-109.105,12.0,0.0,2.0
22,3,DRAW,PEN_DOWN,-30.642,443.192,291.038,-179.07,-0.108,-109.105,12.0,0.0,2.0
23,3,DRAW,PEN_DOWN,-31.589,443.409,290.8,-179.07,-0.108,-109.105,12.0,0.0,2.0
24,3,DRAW,PEN_DOWN,-32.471,443.786,290.531,-179.07,-0.108,-109.105,12.0,0.0,2.0
25,3,DRAW,PEN_DOWN,-33.17,444.332,290.305,-179.07,-0.108,-109.105,12.0,0.0,2.0
26,3,DRAW,PEN_DOWN,-33.303,445.321,290.242,-179.07,-0.108,-109.105,12.0,0.0,2.0
27,3,DRAW,PEN_DOWN,-33.436,446.31,290.18,-179.07,-0.108,-109.105,12.0,0.0,2.0
28,3,DRAW,PEN_DOWN,-33.568,447.299,290.117,-179.07,-0.108,-109.105,12.0,0.0,2.0
29,3,DRAW,PEN_DOWN,-33.701,448.288,290.055,-179.07,-0.108,-109.105,12.0,0.0,2.0
30,3,DRAW,PEN_DOWN,-33.689,449.279,290.077,-179.07,-0.108,-109.105,12.0,0.0,2.0
31,3,DRAW,PEN_DOWN,-33.583,450.27,290.154,-179.07,-0.108,-109.105,12.0,0.0,2.0
32,3,DRAW,PEN_DOWN,-33.477,451.261,290.231,-179.07,-0.108,-109.105,12.0,0.0,2.0
33,3,DRAW,PEN_DOWN,-33.371,452.252,290.308,-179.07,-0.108,-109.105,12.0,0.0,2.0
34,3,DRAW,PEN_DOWN,-33.258,453.242,290.384,-179.07,-0.108,-109.105,12.0,0.0,2.0
35,3,DRAW,PEN_DOWN,-32.964,454.196,290.44,-179.07,-0.108,-109.105,12.0,0.0,2.0
36,3,DRAW,PEN_DOWN,-32.67,455.15,290.496,-179.07,-0.108,-109.105,12.0,0.0,2.0
37,3,DRAW,PEN_DOWN,-32.376,456.104,290.552,-179.07,-0.108,-109.105,12.0,0.0,2.0
38,3,DRAW,PEN_DOWN,-32.083,457.058,290.607,-179.07,-0.108,-109.105,12.0,0.0,2.0
39,3,DRAW,PEN_DOWN,-31.789,458.012,290.663,-179.07,-0.108,-109.105,12.0,0.0,2.0
40,3,DRAW,PEN_DOWN,-30.991,458.532,290.709,-179.07,-0.108,-109.105,12.0,0.0,2.0
41,3,DRAW,PEN_DOWN,-30.09,458.964,290.754,-179.07,-0.108,-109.105,12.0,0.0,2.0
42,3,DRAW,PEN_DOWN,-29.181,459.366,290.757,-179.07,-0.108,-109.105,12.0,0.0,2.0
43,3,DRAW,PEN_DOWN,-28.233,459.635,290.586,-179.07,-0.108,-109.105,12.0,0.0,2.0
44,3,DRAW,PEN_DOWN,-27.285,459.904,290.416,-179.07,-0.108,-109.105,12.0,0.0,2.0
45,3,DRAW,PEN_DOWN,-26.35,459.83,290.246,-179.07,-0.108,-109.105,12.0,0.0,2.0
46,3,DRAW,PEN_DOWN,-25.425,459.488,290.078,-179.07,-0.108,-109.105,12.0,0.0,2.0
47,3,DRAW,PEN_DOWN,-24.797,458.872,289.968,-179.07,-0.108,-109.105,12.0,0.0,2.0
48,3,DRAW,PEN_DOWN,-24.551,457.903,289.933,-179.07,-0.108,-109.105,12.0,0.0,2.0
49,3,DRAW,PEN_DOWN,-24.305,456.934,289.898,-179.07,-0.108,-109.105,12.0,0.0,2.0
50,3,DRAW,PEN_DOWN,-24.059,455.965,289.863,-179.07,-0.108,-109.105,12.0,0.0,2.0
51,3,DRAW,PEN_DOWN,-23.813,454.996,289.828,-179.07,-0.108,-109.105,12.0,0.0,2.0
52,3,DRAW,PEN_DOWN,-23.595,454.023,289.801,-179.07,-0.108,-109.105,12.0,0.0,2.0
53,3,DRAW,PEN_DOWN,-23.521,453.026,289.816,-179.07,-0.108,-109.105,12.0,0.0,2.0
54,3,DRAW,PEN_DOWN,-23.447,452.029,289.831,-179.07,-0.108,-109.105,12.0,0.0,2.0
55,3,DRAW,PEN_DOWN,-23.373,451.032,289.846,-179.07,-0.108,-109.105,12.0,0.0,2.0
56,3,DRAW,PEN_DOWN,-23.3,450.035,289.862,-179.07,-0.108,-109.105,12.0,0.0,2.0
