index,stroke_id,motion_type,pen_state,x_mm,y_mm,z_mm,rx_deg,ry_deg,rz_deg,velocity_mm_s,acceleration_mm_s2,blend_radius_mm
0,1,APPROACH,PEN_UP,-21.069,495.465,371.442,-179.07,-0.108,-109.105,18.0,0.0,0.0
1,1,LIFT,PEN_TRANSITION,-21.069,495.465,291.651,-179.07,-0.108,-109.105,18.0,0.0,0.0
2,1,DRAW,PEN_DOWN,-21.069,495.465,291.651,-179.07,-0.108,-109.105,12.0,0.0,2.0
3,1,DRAW,PEN_DOWN,-22.067,495.525,291.639,-179.07,-0.108,-109.105,12.0,0.0,2.0
4,1,DRAW,PEN_DOWN,-23.065,495.586,291.627,-179.07,-0.108,-109.105,12.0,0.0,2.0
5,1,DRAW,PEN_DOWN,-24.063,495.646,291.615,-179.07,-0.108,-109.105,12.0,0.0,2.0
6,1,DRAW,PEN_DOWN,-25.061,495.707,291.603,-179.07,-0.108,-109.105,12.0,0.0,2.0
7,1,DRAW,PEN_DOWN,-26.059,495.767,291.591,-179.07,-0.108,-109.105,12.0,0.0,2.0
8,1,DRAW,PEN_DOWN,-27.057,495.828,291.579,-179.07,-0.108,-109.105,12.0,0.0,2.0
9,1,DRAW,PEN_DOWN,-28.055,495.888,291.567,-179.07,-0.108,-109.105,12.0,0.0,2.0
10,1,DRAW,PEN_DOWN,-29.053,495.949,291.556,-179.07,-0.108,-109.105,12.0,0.0,2.0
11,1,DRAW,PEN_DOWN,-30.051,495.92,291.546,-179.07,-0.108,-109.105,12.0,0.0,2.0
12,1,DRAW,PEN_DOWN,-31.049,495.861,291.537,-179.07,-0.108,-109.105,12.0,0.0,2.0
13,1,DRAW,PEN_DOWN,-32.047,495.802,291.528,-179.07,-0.108,-109.105,12.0,0.0,2.0
14,1,DRAW,PEN_DOWN,-33.045,495.743,291.52,-179.07,-0.108,-109.105,12.0,0.0,2.0
15,1,DRAW,PEN_DOWN,-34.043,495.684,291.511,-179.07,-0.108,-109.105,12.0,0.0,2.0
16,1,DRAW,PEN_DOWN,-35.03,495.563,291.499,-179.07,-0.108,-109.105,12.0,0.0,2.0
17,1,DRAW,PEN_DOWN,-35.981,495.256,291.476,-179.07,-0.108,-109.105,12.0,0.0,2.0
18,1,DRAW,PEN_DOWN,-36.932,494.949,291.452,-179.07,-0.108,-109.105,12.0,0.0,2.0
19,1,DRAW,PEN_DOWN,-37.884,494.643,291.429,-179.07,-0.108,-109.105,12.0,0.0,2.0
20,1,DRAW,PEN_DOWN,-38.757,494.177,291.386,-179.07,-0.108,-109.105,12.0,0.0,2.0
21,1,DRAW,PEN_DOWN,-39.584,493.618,291.331,-179.07,-0.108,-109.105,12.0,0.0,2.0
22,1,DRAW,PEN_DOWN,-40.411,493.059,291.276,-179.07,-0.108,-109.105,12.0,0.0,2.0
23,1,DRAW,PEN_DOWN,-41.359,492.763,291.165,-179.07,-0.108,-109.105,12.0,0.0,2.0
24,1,DRAW,PEN_DOWN,-42.309,492.472,291.052,-179.07,-0.108,-109.105,12.0,0.0,2.0
25,1,DRAW,PEN_DOWN,-43.259,492.181,290.939,-179.07,-0.108,-109.105,12.0,0.0,2.0
26,1,DRAW,PEN_DOWN,-44.209,491.891,290.826,-179.07,-0.108,-109.105,12.0,0.0,2.0
27,1,DRAW,PEN_DOWN,-45.144,491.561,290.7,-179.07,-0.108,-109.105,12.0,0.0,2.0
28,1,DRAW,PEN_DOWN,-46.079,491.23,290.572,-179.07,-0.108,-109.105,12.0,0.0,2.0
